# module	seconds	peak_mb -- written by scripts/build_pool.py
FourColor.Present7Step13	2.0	2072
FourColor.Present7Step2	12.7	2404
FourColor.Present7Step3	12.3	2416
FourColor.Present7Step4	6.5	2181
FourColor.Present7Step5	8.5	2284
FourColor.Present7Step6	14.9	2465
FourColor.Present7Step7	11.0	2418
FourColor.Present7Step8	9.9	2325
FourColor.Present7Step9	6.5	2248
FourColor.Present8	1.4	2044
FourColor.Present8Chk1	77.9	3619
FourColor.Present8Chk10	45.9	2907
FourColor.Present8Chk100	47.4	4117
FourColor.Present8Chk101	31.3	3147
FourColor.Present8Chk102	38.3	2610
FourColor.Present8Chk103	139.8	6363
FourColor.Present8Chk104	29.0	3230
FourColor.Present8Chk105	35.8	2824
FourColor.Present8Chk106	26.7	2252
FourColor.Present8Chk107	12.6	2187
FourColor.Present8Chk108	15.7	2592
FourColor.Present8Chk109	62.7	3906
